"Year","TotalPopulation","GrowthRate","Density","TotalPopulationRank","DensityRank"
"2020","331002.6510","0.0059","36.1854","3","175"
"2019","329064.9170","0.0060","35.9735","3","175"
"2018","327096.2650","0.0062","35.7583","3","175"
"2017","325084.7560","0.0064","35.5384","3","175"
"2016","323015.9950","0.0067","35.3122","3","174"
"2015","320878.3100","0.0076","35.0786","3","173"
"2010","309011.4750","0.0093","33.7813","3","173"
"2005","294993.5110","0.0093","32.2488","3","171"
"2000","281710.9090","0.0122","30.7968","3","170"
"1995","265163.7450","0.0101","28.9878","3","166"
"1990","252120.3090","0.0095","27.5619","3","165"
"1985","240499.8250","0.0094","26.2916","3","163"
"1980","229476.3540","0.0093","25.0865","3","159"
"1975","219081.2510","0.0090","23.9501","3","154"
"1970","209513.3410","0.0096","22.9041","3","151"
"1965","199733.6760","0.0136","21.8350","3","147"
"1960","186720.5710","0.0169","20.4124","3","144"
"1955","171685.3360","0.0157","18.7687","3","141"
"1950","158804.3950","0","17.3606","3","140"
